plan_name,state,2020_return,arr,mva_billions,mva_billions_19,source
Alabama Employees' Retirement System (ERS),Alabama,,,,,
Alabama Teachers' Retirement System (TRS),Alabama,,,,,
Alaska Public Employees Retirement System (PERS),Alaska,0.0383,0.0738,9.3445,9.4894,https://treasury.dor.alaska.gov/Portals/3/docs/Investment%20Results/Investment%20Performance%2006.30.20.pdf
Alaska Teachers Retirement System (TRS),Alaska,0.0382,0.0738,5.3757,5.5119,https://treasury.dor.alaska.gov/Portals/3/docs/Investment%20Results/Investment%20Performance%2006.30.20.pdf
Arizona Corrections Officers Retirement Plan (CORP),Arizona,,,,,
Arizona Public Safety Personnel Retirement System (PSPRS)**,Arizona,0.005,0.073,10.7,7.83,https://www.pionline.com/pension-funds/arizona-public-safety-personnel-returns-05-fiscal-year-below-benchmark
Arizona State Retirement System (ASRS),Arizona,0.008,0.075,42.1917,41.5568,https://www.azasrs.gov/sites/default/files/2020_ASRS_CAFR_Web.pdf
Arkansas Public Employees System (APERS),Arkansas,0.024,0.072,9,8.833,https://www.pionline.com/pension-funds/arkansas-public-employees-returns-24-fiscal-year
Arkansas Teachers Retirement Plan (ATRS),Arkansas,-0.014,0.075,16.6653,17.7416,https://www.artrs.gov/BoardMinutes/Minutes2020/09_28_2020_BOT_Packet.pdf
California State Teachers Retirement System (CalSTRS),California,0.039,0.07,246,238.86,https://www.calstrs.com/news-release/calstrs-returns-39-2019-20-amid-volatile-markets
CalPERS - California Public Employees Retirement Fund (CalPERS),California,0.047,0.07,396.9,372.61,https://www.calpers.ca.gov/page/newsroom/calpers-news/2020/calpers-preliminary-investment-return-2019-20
"Colorado PERA, Local Division Fund",Colorado,,,,,
"Colorado PERA, School Division Fund (PERA)",Colorado,,,,,
"Colorado PERA, State Division Fund (PERA)",Colorado,,,,,
Connecticut Municipal Employees Retirement Plan,Connecticut,,,,,
Connecticut State Employees Retirement System (SERS),Connecticut,,,,,
Connecticut Teachers Retirement System (TRS),Connecticut,,,,,
Delaware State Employees' Pension Plan (PERS),Delaware,0.1,0.07,9.6388,9.1165,https://open.omb.delaware.gov/FinancialReports/financials/fy-20-CAFR-FINAL.pdf
Employee Retirement System of Hawaii (ERS),Hawaii,0.013,0.07,17.2,17.227,https://www.pionline.com/pension-funds/hawaii-system-returns-13-fiscal-year-topping-benchmark
Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund,Texas,,,,,
Florida Retirement System (FRS),Florida,0.033,0.072,161.6,163.5737,http://edr.state.fl.us/Content/conferences/actuarial/2020FRSActuarialAssumptionConferenceMillimanPresentation.pdf
Georgia Employees' Retirement System (GAERS),Georgia,0.055,0.073,16.7,13.617,https://www.pionline.com/pension-funds/georgia-employees-returns-55-fiscal-year
Georgia Teachers Retirement System (GATRS),Georgia,0.054,0.0725,81.1616,78.7889,https://www.trsga.com/uploads/TRS%20CAFR_2020%20-%20Final.pdf
Idaho Public Employee Retirement System (PERS),Idaho,0.028,0.07,18.7,17.28,https://www.pionline.com/pension-funds/idaho-public-employees-posts-28-return-fiscal-year
Illinois Municipal Employees Retirement System,Illinois,,,,,
Illinois State Employees Retirement System (SERS),Illinois,,,,,
Illinois Teachers Retirement System (TRS),Illinois,0.006,0.07,51.6,53.263,https://www.pionline.com/pension-funds/illinois-teachers-ekes-out-06-fiscal-year-return
Illinois State University Retirement System,Illinois,0.0264,0.0675,22.4337,22.447,http://www.surs.com/sites/default/files/pdfsx/sursinvplan.pdf
Indiana Public Employees Retirement Fund (PERF),Indiana,0.026,0.068,30.7,30.371,https://www.pionline.com/pension-funds/indiana-public-retirement-sees-net-26-return-fiscal-year
Illinois Teachers Retirement System (TRS),Indiana,0.026,0.068,30.7,30.371,https://www.pionline.com/pension-funds/indiana-public-retirement-sees-net-26-return-fiscal-year
Iowa Municipal Fire and Police Retirement System (MFPRSI),Iowa,0.023,0.075,2.613,2.593,http://www.mfprsi.org/site_media/publications/actuarial_report_2020_1.pdf
Iowa Public Employees' Retirement System (PERS),Iowa,0.034,0.07,34,34.011,https://www.ipers.org/about-us/investments/fund-performance/investment-returns/investments-returns-â€”-june-30-2020
Kansas Public Employees' Retirement System (PERS),Kansas,,,,,
Kentucky County Employees Retirement System,Kentucky,0.008,0.063,9.42,9.67,https://kyret.ky.gov/Investments/documents/June%202020%20Monthly%20Update.pdf
Kentucky Employees Retirement System (ERS),Kentucky,0.024,0.053,3.01,2.97,https://kyret.ky.gov/Investments/documents/June%202020%20Monthly%20Update.pdf
Kentucky Teachers' Retirement System (TRS),Kentucky,0.058,0.075,20.5,20.372,https://www.pionline.com/pension-funds/kentucky-teachers-chalks-58-fiscal-year-return
Louisiana Municipal Police Retirement System,Louisiana,0.027,0.0713,2.1885,2.2243,https://www.lampers.org/sites/default/files/fileattachments/general/page/911/2020_06_louisiana_mpers_supplemental_flash.pdf
Louisiana Parochial Employee Retirement System,Louisiana,,,,,
Louisiana School Employees' Retirement System (LSERS),Louisiana,-0.0042,0.07,1.8456,1.9404,https://lsers.net/wp-content/uploads/2020/10/2020_Valuation.pdf
Louisiana State Employees Retirement System (LASERS),Louisiana,-0.038,0.08,10.7,12.283,https://www.pionline.com/pension-funds/louisiana-state-employees-posts-38-fiscal-year-return
Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts*,Maine,0.018,0.068,15.1,14.989,https://www.pionline.com/pension-funds/maine-public-employees-returns-18-fiscal-year
Maine Public Employees Retirement System (PERS) Defined Benefit Plan*,Maine,0.018,0.068,15.1,14.989,https://www.pionline.com/pension-funds/maine-public-employees-returns-18-fiscal-year
Maryland State Retirement and Pension System (ERS & TRS),Maryland,0.036,0.074,54.8,54.24,https://sra.maryland.gov/post/maryland-state-retirement-and-pension-system-earns-36-during-volatile-fy-2020
Massachusetts State Employees' Retirement System (MSERS),Massachusetts,,,,,
Massachusetts Teachers' Retirement System (MTRS),Massachusetts,,,,,
Michigan Municipal Retirement System,Michigan,,,,,
Michigan Public School Employees Retirement System (MIPSERS),Michigan,,,,,
Michigan State Employees Retirement System (SERS),Michigan,,,,,
